Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,month,year,day,is_quarter_end,target,Open-Close,Low-High,7_day_MA,RSI,MACD,MACD_signal,MACD_hist,Volume_change
2011-10-10,802.9,804.25,830.9,804.2,829.0,829.25,821.32,3393633,278727334620000.0,101332.0,1235323.0,0.364,10,2011,10,0,0,-25.0,-26.699999999999932,796.4285714285714,56.230691692397066,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.254363893072041
2011-10-11,829.25,835.0,841.4,822.5,824.5,827.0,830.94,3592510,298515819290000.0,83747.0,1344026.0,0.3741,10,2011,11,0,1,8.0,-18.899999999999977,799.1857142857143,55.68224636618062,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.058602977988486016
2011-10-12,827.0,829.4,851.9,826.05,847.6,849.65,838.85,3947624,331146958715000.0,90025.0,1428349.0,0.3618,10,2011,12,0,0,-20.25,-25.850000000000023,805.0857142857143,59.92019673870044,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.09884843744345884
2011-10-13,849.65,850.0,858.0,842.1,845.25,846.9,849.78,4195352,356510734590000.0,111283.0,1555746.0,0.3707999999999999,10,2011,13,0,1,3.1000000000000227,-15.899999999999977,813.4714285714284,59.18024388527057,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.06275369690730415
2011-10-14,846.9,842.0,869.7,841.5,865.0,866.9,860.41,4085035,351479732955000.0,112218.0,1179539.0,0.2887,10,2011,14,0,0,-24.899999999999977,-28.200000000000045,827.0857142857143,62.780121640925984,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.026295052238763272
2011-10-17,866.9,867.0,868.85,831.15,833.05,833.8,840.34,5040808,423597571620000.0,134399.0,1900108.0,0.3769,10,2011,17,0,0,33.200000000000045,-37.700000000000045,836.6285714285714,54.252638092546356,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.23396935399574303
2011-10-18,833.8,825.0,826.4,811.35,820.7,819.9,817.64,4182965,342014659930000.0,109003.0,1932200.0,0.4619,10,2011,18,0,1,5.100000000000023,-15.049999999999955,839.0571428571428,51.11285009140064,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.17017966167328735
2011-10-19,819.9,825.5,845.0,824.1,841.6,843.0,836.18,2713867,226927475645000.0,69847.0,949120.0,0.3497,10,2011,19,0,0,-17.5,-20.899999999999977,841.0214285714285,55.701168976132365,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.3512097280278462
2011-10-20,843.0,834.85,840.9,822.0,840.4,838.7,829.69,2279371,189117197790000.0,61441.0,572567.0,0.2512,10,2011,20,0,0,-3.8500000000000227,-18.899999999999977,842.6928571428571,54.67251551877231,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.16010217155077977
2011-10-21,838.7,840.0,849.2,831.1,839.2,835.75,841.53,2364175,198952350870000.0,62752.0,563838.0,0.2385,10,2011,21,0,1,4.25,-18.100000000000023,840.7071428571428,53.93660229133396,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.03720500085330558
